duration;unit;convert;duration_conv;unit_conv
38;mo;yes;1140;d
408;h;yes;17;d
4.2;h;yes;252;mi
4.25;d;yes;102;h
43;mi;no;43;mi
43;wk;yes;301;d
45;nf;no;45;remove
4.7;d;yes;112.8;h
5;s;no;5;s
5;yr;no;5;yr
5.1;d;no;5.1;d
513;d;no;513;d
55;mi;no;55;mi
56;dpf;no;56;remove
5.7;h;no;5.7;h
59;mi;no;59;mi
600;mi;yes;10;h
61;h;no;61;h
6.2;h;no;6.2;h
644;h;yes;26.8333333333;d
648;h;yes;27;d
674;h;yes;28.0833333333;d
6.8;d;no;6.8;d
6.8;h;no;6.8;h
7;stg;no;7;remove
714;h;yes;29.75;d
720;d;no;720;d
724;h;yes;30.1666666667;d
735;d;no;735;d
77;dph;no;77;remove
78;dph;no;78;remove
8.17;h;no;8.17;h
8.33;h;no;8.33;h
85.7;h;no;85.7;h
9;mi;no;9;mi
9.4;h;no;9.4;h
95;mi;no;95;mi
96.75;h;no;96.75;h
NR;i2;no;NR;remove
0;wk;no;0;remove
0.042;h;yes;2.52;mi
0.22;h;yes;13.2;mi
0.26;h;yes;15.6;mi
0.3;d;yes;7.2;h
0.43;h;yes;25.8;mi
0.8;d;yes;19.2;h
0.85;h;yes;51;mi
0.9;d;yes;21.6;h
0.95;h;yes;57;mi
0.97;h;yes;58.2;mi
1;ins;no;1;remove
10;brd;no;10;remove
101;dph;no;101;remove
10.4;d;no;10.4;d
10.4;h;no;10.4;h
107;h;no;107;h
1.08;h;yes;64.8;mi
10.9;h;no;10.9;h
1.1;d;yes;26.4;h
1.1;h;yes;66;mi
113;hpf;no;113;remove
1.15;d;yes;27.6;h
11.6;d;no;11.6;d
118;dpf;no;118;remove
123;h;yes;5.125;d
126;h;yes;5.25;d
128;mi;no;128;mi
13;hpf;no;13;remove
130;h;yes;5.4166666667;d
13.1;d;no;13.1;d
132;mi;no;132;mi
141;h;yes;5.875;d
14.1;h;no;14.1;h
14.2;d;no;14.2;d
143;mi;no;143;mi
14.4;h;no;14.4;h
1440;mi;yes;24;h
1450;mi;yes;24.1666666667;h
154;d;no;154;d
15.5;d;no;15.5;d
15.5;h;no;15.5;h
16;dph;no;16;remove
16;mi;no;16;mi
1.6;h;yes;96;mi
163;mi;no;163;mi
16.8;d;no;16.8;d
169;h;yes;7.0416666667;d
16.9;d;no;16.9;d
1690;h;yes;70.4166666667;d
1.7;d;yes;40.8;h
17.1;d;no;17.1;d
172;dph;no;172;remove
17.4;d;no;17.4;d
176;d;no;176;d
18.1;d;no;18.1;d
1.83;h;yes;109.8;mi
18.3;h;no;18.3;h
18.9;d;no;18.9;d
1.9;h;yes;114;mi
19.2;d;no;19.2;d
19.5;d;no;19.5;d
1972;d;no;1972;d
19.8;d;no;19.8;d
2000;mi;yes;33.3333333333;h
20.9;h;no;20.9;h
2.15;h;yes;129;mi
21.5;d;no;21.5;d
22;dph;no;22;remove
220;mi;no;220;mi
2.25;yr;no;2.25;yr
230;h;yes;9.5833333333;d
2.33;h;yes;139.8;mi
241;d;no;241;d
25;dph;no;25;remove
252;d;no;252;d
25.2;d;no;25.2;d
253;d;no;253;d
255;mi;no;255;mi
258;d;no;258;d
2.7;h;yes;162;mi
280;h;yes;11.6666666667;d
283;h;yes;11.7916666667;d
287;h;yes;11.9583333333;d
28.75;d;no;28.75;d
288;d;no;288;d
291;d;no;291;d
294;d;no;294;d
29.5;d;no;29.5;d
30.5;h;no;30.5;h
3.1;h;yes;186;mi
316;d;no;316;d
32;mi;no;32;mi
32;wk;yes;224;d
3.2;d;yes;76.8;h
32.5;h;no;32.5;h
3.27;d;yes;78.48;h
33;wk;yes;231;d
343;d;no;343;d
35;mo;yes;1050;d
3.5;mi;no;3.5;mi
352;d;no;352;d
35.5;h;no;35.5;h
360;d;no;360;d
363;h;yes;15.125;d
3.66;mi;no;3.66;mi
3.67;h;yes;220.2;mi
38;mi;no;38;mi
3.85;h;yes;231;mi
3.9;d;yes;93.6;h
400;mi;yes;6.6666666667;h
408;d;no;408;d
4.08;d;yes;97.92;h
41;mi;no;41;mi
4.17;d;yes;100.08;h
4.17;mi;no;4.17;mi
43.5;d;no;43.5;d
4.4;d;yes;105.6;h
4.67;mi;no;4.67;mi
4.79;d;yes;114.96;h
48;hph;no;48;remove
495;mi;yes;8.25;h
49.5;h;no;49.5;h
5.1;h;no;5.1;h
510;mi;yes;8.5;h
5.15;h;no;5.15;h
51.5;h;no;51.5;h
56;dph;no;56;remove
57;mi;no;57;mi
5.75;d;no;5.75;d
5.79;d;no;5.79;d
58;nf;no;58;remove
5.83;d;no;5.83;d
